,t,pressure_difference,phi,phi_min,R_tot,Q_tot,Q_norm,pt_averaged,kp_p,kp_n,Ap,Dp,kn_p,kn_n,An,Dn,c,dphidt,dApdt,dDpdt,dAndt,dDndt,dcdt
1233,3.288,27.576424000000003,0.9952527176927435,0.8693318887520111,9.212966478667992e-06,2993218.7492325488,0.8060136348562573,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995051560585,1.233322901102123e-13,0.0016298850169626279,3.6781649704038804e-05,0.9988281685083816,6.869656629213293e-07,1.103398154857565,-0.0110779018357439,-1.4967608438648934e-07,7.491304887348512e-14,-0.0016282497255139215,1.912742292311791e-06,0.18383037012604797
1234,3.2906666666666666,27.562752000000003,0.9952231766211815,0.8690607027472833,9.21300061879251e-06,2991723.6675071972,0.8056110394040651,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995047569222,1.235320582405416e-13,0.0016305260351389369,3.6140631527729806e-05,0.9988238265091136,6.920663090341607e-07,1.1038883691779011,-0.011123883373422043,-1.4967475393881135e-07,7.497344836248303e-14,-0.0016288783144403213,1.9205624637966846e-06,0.18399823155949013
1235,3.293333333333333,27.549080000000004,0.9951935129321857,0.8687895101097323,9.213034905722808e-06,2990228.549214277,0.8052084341049617,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995043577895,1.2373198743617487e-13,0.001631156695676869,3.550997098979788e-05,0.9988194828336084,6.971878089376186e-07,1.1043790311287265,-0.011169961272331837,-1.4967342350297634e-07,7.503384731383779e-14,-0.0016294966178146773,1.9283786755795936e-06,0.18416632837178204
1236,3.296,27.535408000000004,0.9951637263687928,0.868518310831133,9.213069339820244e-06,2988733.394308443,0.8048058189467366,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995039586603,1.2393207769567844e-13,0.0016317771480120035,3.4889518654663275e-05,0.9988151375092943,7.023301520724975e-07,1.104870141337718,-0.011216135540865965,-1.4967209307898422e-07,7.509424572754943e-14,-0.0016301047842535788,1.93619092870934e-06,0.18433466099243567
1237,3.2986666666666666,27.521736000000004,0.9951338166740171,0.8682471049032751,9.213103921446668e-06,2987238.20274443,0.8044031939172009,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995035595347,1.2413232901761858e-13,0.0016323875398523721,3.427912681429474e-05,0.998810790563203,7.074933278823891e-07,1.1053617004336977,-0.011262406187426277,-1.4967076266683497e-07,7.515464360361794e-14,-0.001630702960649633,1.9439992252394926e-06,0.18450322985213985
1238,3.301333333333333,27.508064000000005,0.9951037835908506,0.8679758923179626,9.21313865096442e-06,2985742.9744770527,0.8040005590041871,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995031604126,1.2433274140056157e-13,0.0016329880171869638,3.367864947970302e-05,0.9988064420219745,7.126773258163611e-07,1.1058537090466367,-0.011308773220423908,-1.496694322665287e-07,7.521504094204331e-14,-0.0016312912921801444,1.951803568200571e-06,0.1846720353821274
1239,3.304,27.494392000000005,0.9950736268622629,0.8677046730670137,9.213173528736332e-06,2984247.7094612047,0.8035979141955488,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995027612941,1.245333148430737e-13,0.0016335787242945587,3.3087942372108106e-05,0.9988020919118621,7.178821353315626e-07,1.1063461678076558,-0.011355236648279131,-1.4966810187806533e-07,7.527543774282552e-14,-0.0016318699223161171,1.9596039615715792e-06,0.18484107801504113
1240,3.3066666666666666,27.480719999999998,0.9950433462312008,0.8674334471422616,9.213208555125734e-06,2982752.40765186,0.8031952594791616,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995023621792,1.2473404934372122e-13,0.00163415980375288,3.250686291378674e-05,0.9987977402587359,7.231077458957535e-07,1.1068390773490293,-0.011401796479421444,-1.4966677150144486e-07,7.533583400596462e-14,-0.0016324389928315645,1.9674004102534445e-06,0.18501035818435652
1241,3.309333333333333,27.467048000000005,0.995012941440589,0.8671622145355535,9.213243730496458e-06,2981257.0690040714,0.8027925948429221,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995019630677,1.2493494490107047e-13,0.001634731396448046,3.19352702186207e-05,0.9987933870880884,7.283541469897626e-07,1.1073324383041876,-0.01144845272228951,-1.4966544113666733e-07,7.539622973146057e-14,-0.001632998643813113,1.9751929200412593e-06,0.18517987632499233
1242,3.312,27.453376,0.9949824122333296,0.8668909752387501,9.213279055212828e-06,2979761.6934729675,0.8023899202747472,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995015639599,1.251360015136877e-13,0.00163529364158431,3.137302508235657e-05,0.9987890324250382,7.336213281098727e-07,1.1078262513077208,-0.011495205385331239,-1.4966411078373268e-07,7.54566249193134e-14,-0.0016335490136698894,1.9829814975985753e-06,0.18534963287225592
